project;commitHash;changedfiled
large-refactorings/dubbo;6283eb44e1f35d91cc880b9090683677a53c2170;1
large-refactorings/dubbo;23f19ce19c77c1dc738da845149f45dc3213e8ef;6
large-refactorings/dubbo;bb6d62b858afaa6fc1d63d1ac0ed3ba3a2f024a9;2
large-refactorings/dubbo;e7b41b2a3d54cb62133b9bb6bfe510a70de199c4;1
large-refactorings/dubbo;83d94f2b43e66f1c14323acaca45c3c63533b8fd;1
large-refactorings/dubbo;99b42d9550d1da5df119ad87ce7bfa55684116fa;7
large-refactorings/dubbo;05dbea9329d1fdca61dc557b87de9c8d352b8c9b;7
large-refactorings/dubbo;9279c786b16bddc28111532b5d7ebeed67a9874b;1
large-refactorings/dubbo;dc6dc64b5335a3f3a36f2d99a73b2791078ee4b0;2
large-refactorings/dubbo;7a5074875831fa83a41ca3f92f5668014b4d4689;4
large-refactorings/dubbo;ed0c09413bb1f61b8a8da88940f94a02c5e6d00e;4
large-refactorings/dubbo;2c737a4d87a42f0c97d3e627a5424034c2d2630b;1
large-refactorings/dubbo;532ce72f8377abf8ff659430b86e0919c9aff562;1
large-refactorings/dubbo;441c4531879c8c06d03d1331e630063d3a41b2e4;1
large-refactorings/dubbo;0495567b00ef1349f452928e6fdf926e429c1432;2
large-refactorings/dubbo;f64d2b26d82d1814da1a66f6247a413dfc572cbd;10
large-refactorings/dubbo;39292a0fd7172c50618cbff2bd894e2816881cb3;8
large-refactorings/dubbo;10609c3f258d77f686df66a20bc782333ff9948e;1
large-refactorings/dubbo;9da98572a0190a32ca3b53591a58539127c9265e;8
large-refactorings/dubbo;c263172437c7f7e01ede12d584f83bb6344e8a3a;1
large-refactorings/dubbo;01f2261bad9c2b891084f3e681a36fb0ee9785be;2
large-refactorings/dubbo;897687f1f7163e34501fab23871c18410dc15dd3;1
large-refactorings/dubbo;f488cb3a10093ac2c361ac6de696201e0e8a30af;3
large-refactorings/dubbo;d93db7aa388dac3fe2a4a1411c182fc2f49d6678;1
large-refactorings/dubbo;2b00a9287eac4edde7134901df76d933f11fdb53;1
large-refactorings/dubbo;b78cfec47c2a6f057cd4fe637112128b1d0a20a8;5
large-refactorings/dubbo;9bccd5cfdd131e77c69cb2d45e970ffb10cf6c3c;6
large-refactorings/dubbo;01654563d6362c547f213d70ba4af885d061dd51;1
large-refactorings/dubbo;ca3b1730432dec2874e0136830d34e40d1cb085e;1
large-refactorings/dubbo;0db6fe237933405992ec4f6a51fb6b88fcb007cb;1
large-refactorings/dubbo;33e46df33069e5f103a8f919c9b9824647150a4e;2
large-refactorings/dubbo;2a0c981d2091fa0fa0a490ef71575b1bab391d78;1
large-refactorings/dubbo;82f5665684be51b03e08163a6daa4f5b9d24354d;4
large-refactorings/dubbo;83d020cdc0052689538130a89d647f1f0aa8a433;2
large-refactorings/dubbo;a39fffebe56291ce154c3011faf572e1678d6841;11
large-refactorings/dubbo;44f2f6b0d7de00c2b892d150e6ef97010847f643;4
large-refactorings/dubbo;84803247e4435030dec8a72295348d25e855cbdf;7
large-refactorings/dubbo;efc73a2e246d9977c83b318258447a0ebadffdf7;9
large-refactorings/dubbo;96680ddb4a74324ecd449393b9a2a0b3526cb3a3;1
large-refactorings/dubbo;f00464324398a401afa4f1cc9628224d970a1983;1
large-refactorings/dubbo;3d3f974feb192368ae03e7d2cda07cff6260cf7d;1
large-refactorings/dubbo;541ea63659b5ffff8a63b9984ab9b7032844b6a6;1
large-refactorings/dubbo;2bca144bfb4312f3e414c5551c233c4f93645fe6;17
large-refactorings/dubbo;4a5ec3e55490e9be734e16f9220d0488bee2761b;5
large-refactorings/dubbo;15232b0557b3cd630cbe913e8b56669f625ddef3;0
large-refactorings/dubbo;358bee2b0295bd358e312c014146c95fe287d770;1
large-refactorings/dubbo;7081b5d48185b045d5d548f21fe9faa0397e425d;1
large-refactorings/dubbo;6ad579fbf3c4fb04bc6d6d5503a58bf2428bce85;1
large-refactorings/dubbo;16b3d42c7aa4694b365c0d1bf57c8c712a32965e;3
large-refactorings/dubbo;b6af8bf256b54aaf0db8bb5f9cf25d9fdc750993;1
large-refactorings/dubbo;203fc024759851e6ad064602efc9a816e23925f0;2
large-refactorings/dubbo;c9f39646c3cd6a7a427775e28047bd8c42a76cc6;2
large-refactorings/dubbo;a09b7f1676ab2830dbfbbe1cba3f29164b65cb6b;3
large-refactorings/dubbo;6a497e50cafc7d7a3efc8220c2c46b88618153ae;6
large-refactorings/dubbo;bf5e72e619c3a99eb343b3e8ea65b23f08bdec7f;1
large-refactorings/dubbo;4e73f0d8a5cdd8702d7d8b9152639cb7f4555b10;2
large-refactorings/dubbo;66d47d7291df63f05f7788cda094afa84e29466a;1
large-refactorings/dubbo;b1da37a5873b19dc3d3f0ee25665e534b00513bc;1
large-refactorings/dubbo;f7cfe6e77820c115bf923b7dea1a338d7ef6ebea;1
large-refactorings/dubbo;3163790d013d82d76339b465385023b0a7f0c3a2;15
large-refactorings/dubbo;b3c66f4e1284f5d09328c1aa0fb1862f39cf9ebc;8
large-refactorings/dubbo;6e9dbe9b4314e5e8963703219b2f78c3bfabf2b7;11
large-refactorings/dubbo;4844effcb60c0682511bc8ca55d0503313f93057;4
large-refactorings/dubbo;88416348314c71d4f8764b1e5c4ddc59dca35db0;4
large-refactorings/dubbo;bdb2d318386f86de7df54c7e496fe4148691c2df;3
large-refactorings/dubbo;f07640fc7455726c841b009492dc5edf5f11c6d1;26
large-refactorings/dubbo;c1e3a01d8c0371e8338c7452bc85358f6039bd20;1
large-refactorings/dubbo;0e66de1c61886c637e5ca11c1b0433bb1c25d05d;728
large-refactorings/dubbo;724ec8b5547467b80c025cf04b3a52408a64ba49;61
large-refactorings/dubbo;db41d2a5f4cebe1ebc88edd6c2e42ecd446a784d;58
large-refactorings/dubbo;87bc352bc36eb80cca317c9b2f9a1e342f042cb9;13
large-refactorings/dubbo;175b57ce539f0001b90aa588628f97de446f64f4;1
large-refactorings/dubbo;f0ee73e76fadb55c0c438fa278c84b45602a9725;2
large-refactorings/dubbo;c0269b6e6d917230237f438a060bc0882965e31b;26
large-refactorings/dubbo;e1892217088c6ea718486d8ae3b7c811d77bfcaf;11
large-refactorings/dubbo;d0454fdbef0b7724cf5747a276f292eb14c8ab05;193
large-refactorings/dubbo;3cb9ac6564bf85987773b988b2f192befe415d5f;1
large-refactorings/dubbo;b7b17988325003dbc6730314b78b416583aab816;1
large-refactorings/dubbo;d2dac892049496432e0cf978d5e75131822a88cb;2
large-refactorings/dubbo;f53d8a53d74b44e7907bd1fb4055117577548c54;18
large-refactorings/dubbo;d75d3a0bd12a47f02fbf87e49460e3b9a13ac710;1
large-refactorings/dubbo;0dc86124159d3d6bca9b5aa7b9dc0cf5de1e779e;5
large-refactorings/dubbo;259dff2d04d91223d7db8fbae7cff543b830a38c;6
large-refactorings/dubbo;d5b46c3e6561b1c42d8f146f03e388342d9d787d;5
large-refactorings/dubbo;ebedc1d95c0d9352fd75e4a41c8053873f4b3896;1
large-refactorings/dubbo;ee4d90910a7bc2210eb1b9c06629ccff6b0840c1;12
large-refactorings/dubbo;8bc9257f4e09b2937e21842b90984dfcaefe97b6;327
large-refactorings/dubbo;4ea0a09846fa74b7b1a6a1a548f31859a2cddcc8;1
large-refactorings/dubbo;e4a8ca1c34b907e3fdf3045faa22f56efd8b8896;1
large-refactorings/dubbo;67e2cf7bd5cded5b6580041f9be046bdfcd7f225;1
large-refactorings/dubbo;ca2e3516600b8b0ab2f0ab50994100c16394346f;2
large-refactorings/dubbo;537755bf1b092f3aa196119269458c92ec05e89c;2
large-refactorings/dubbo;0fa05b8982ae39c459dcda119dacd171eeaea194;1
large-refactorings/dubbo;04f10d3dd3311e08ba8eea755872cf2a98faca7e;1
large-refactorings/dubbo;dc54172eb8ea7de54a1dfad794ef027218f06366;37
large-refactorings/dubbo;7dd5524733a10d03e738ba29fa596d3145f72103;6
large-refactorings/dubbo;a7fb614c13fe18af5fda8c8bebd543a831c0c72c;12
large-refactorings/dubbo;845003f500fa3bb0ac3f1bf41ee4d55b71720fa8;1
large-refactorings/dubbo;3a8f44eb380077eb34132fa4238e1dd36fa28213;1
